CustomerKey,GeographyKey,FirstName,LastName,FullName,BirthDate,MaritalStatus,Gender,Income,TotalChildren,Education,DateFirstPurchase
11120,18,Beth,Jiménez,Beth Jiménez,1942-02-06,S,F,"40000,00",2,Bachelors,2020-05-14
11121,10,Orlando,Suarez,Orlando Suarez,1966-05-18,M,M,"70000,00",5,Partial College,2022-06-24
11122,12,Byron,Vazquez,Byron Vazquez,1965-09-30,M,M,"70000,00",5,Partial College,2022-02-21
11123,39,Philip,Alvarez,Philip Alvarez,1965-12-18,M,M,"70000,00",5,Partial College,2022-04-17
11124,40,Ross,Jordan,Ross Jordan,1968-07-23,S,M,"80000,00",1,Partial College,2020-05-05
11125,37,Dana,Navarro,Dana Navarro,1961-10-06,S,F,"70000,00",1,Partial College,2022-01-31
11126,11,Shaun,Carson,Shaun Carson,1954-10-05,M,M,"10000,00",2,High School,2020-05-28
11127,361,Jan,Edwards,Jan Edwards,1981-04-19,M,F,"40000,00",0,High School,2022-04-10
11128,635,Samantha,Long,Samantha Long,1981-06-03,M,F,"40000,00",0,High School,2022-06-19
11129,638,Julia,Wright,Julia Wright,1981-02-01,S,F,"40000,00",0,High School,2020-08-06
11130,543,Caroline,Russell,Caroline Russell,1985-07-05,M,F,"30000,00",0,High School,2022-12-09
11131,50,Amanda,Rivera,Amanda Rivera,1985-09-09,M,F,"30000,00",0,High School,2022-10-18
11132,51,Melissa,Richardson,Melissa Richardson,1986-04-25,S,F,"30000,00",0,High School,2022-04-09
11133,542,Angela,Griffin,Angela Griffin,1986-03-08,S,F,"30000,00",0,Partial High School,2022-12-30
11134,30,Larry,Townsend,Larry Townsend,1957-02-22,S,M,"10000,00",5,High School,2020-05-03
11135,302,Marcus,Harris,Marcus Harris,1985-05-02,S,M,"30000,00",0,Partial High School,2022-04-18
11136,53,Brianna,Morgan,Brianna Morgan,1984-04-24,S,F,"40000,00",0,High School,2022-01-03
11137,641,Jasmine,Taylor,Jasmine Taylor,1984-01-17,M,F,"40000,00",0,High School,2022-07-31
11138,325,Lauren,Davis,Lauren Davis,1984-03-14,M,F,"40000,00",0,High School,2022-09-19
11139,28,Tanya,Moreno,Tanya Moreno,1949-11-05,S,F,"30000,00",2,Partial College,2022-09-14
11140,301,Javier,Alvarez,Javier Alvarez,1982-08-11,S,M,"30000,00",0,Partial High School,2022-03-19
11141,314,Nicole,Ramirez,Nicole Ramirez,1982-12-19,M,F,"40000,00",0,High School,2022-05-16
11142,51,Eduardo,Patterson,Eduardo Patterson,1983-02-11,S,M,"40000,00",0,High School,2022-02-13
11143,334,Jonathan,Henderson,Jonathan Henderson,1982-08-04,M,M,"40000,00",0,High School,2022-06-15
11144,607,Edward,Hernandez,Edward Hernandez,1985-03-08,S,M,"40000,00",0,High School,2022-01-25
11145,536,Jasmine,Coleman,Jasmine Coleman,1985-06-06,S,F,"40000,00",0,High School,2022-01-25
11146,8,Karla,Goel,Karla Goel,1945-02-22,S,F,"40000,00",2,Bachelors,2022-02-05
11147,40,Ernest,Wu,Ernest Wu,1944-08-04,M,M,"60000,00",2,Graduate Degree,2020-05-13
11148,22,Ross,Vazquez,Ross Vazquez,1947-02-13,M,M,"40000,00",2,Bachelors,2022-03-07
11149,25,Theodore,Gill,Theodore Gill,1946-10-18,M,M,"40000,00",2,Bachelors,2022-06-04
11150,39,Russell,Shen,Russell Shen,1946-09-12,S,M,"40000,00",2,Bachelors,2022-03-27
11151,18,Melinda,Gill,Melinda Gill,1947-08-25,S,F,"60000,00",2,Graduate Degree,2020-05-15
11152,633,James,Williams,James Williams,1981-07-09,S,M,"40000,00",0,High School,2022-01-09
11153,635,Angela,James,Angela James,1981-12-21,M,F,"40000,00",0,High School,2022-03-29
11154,553,Megan,Walker,Megan Walker,1982-02-18,S,F,"40000,00",0,Partial College,2022-01-10
11155,301,Hunter,Robinson,Hunter Robinson,1981-07-25,S,M,"40000,00",0,Partial College,2022-01-06
11156,334,Maria,Roberts,Maria Roberts,1981-08-06,S,F,"40000,00",0,Partial College,2022-01-08
11157,642,Hannah,Long,Hannah Long,1980-12-08,M,F,"40000,00",0,High School,2022-07-24
11158,361,Jason,Wright,Jason Wright,1981-04-06,S,M,"40000,00",0,High School,2022-01-19
11159,385,Brianna,Hughes,Brianna Hughes,1981-03-16,S,F,"40000,00",0,High School,2022-09-08
11160,311,Maurice,Tang,Maurice Tang,1979-07-08,S,M,"40000,00",0,Partial College,2022-02-21
11161,311,Emily,Wood,Emily Wood,1979-10-20,S,F,"40000,00",0,Partial College,2022-06-01
11162,331,Chase,Cox,Chase Cox,1979-09-02,S,M,"40000,00",0,Partial College,2022-02-18
11163,372,Gabriel,Wang,Gabriel Wang,1980-06-18,M,M,"40000,00",0,Partial College,2022-05-01
11164,374,Devin,Brooks,Devin Brooks,1979-11-02,S,M,"40000,00",0,Partial College,2022-04-27
11165,348,Jocelyn,Alexander,Jocelyn Alexander,1979-01-15,M,F,"60000,00",0,Partial College,2022-05-25
11166,631,Ashley,Martinez,Ashley Martinez,1977-10-22,S,F,"70000,00",0,Partial College,2022-10-14
11167,618,Jasmine,Barnes,Jasmine Barnes,1978-01-29,S,F,"80000,00",0,Bachelors,2022-01-07
11168,348,David,Rodriguez,David Rodriguez,1973-11-12,S,M,"80000,00",0,Bachelors,2022-01-15
11169,312,Bryce,Richardson,Bryce Richardson,1973-12-20,M,M,"90000,00",4,Bachelors,2022-05-26
11170,612,Carol,Howard,Carol Howard,1973-08-04,M,F,"90000,00",4,Bachelors,2022-08-26
11171,385,Jonathan,Hill,Jonathan Hill,1978-10-05,S,M,"100000,00",1,Bachelors,2020-08-20
11172,626,Gabrielle,Adams,Gabrielle Adams,1973-05-20,M,F,"100000,00",1,Bachelors,2022-05-03
11173,552,Sarah,Thomas,Sarah Thomas,1973-02-28,S,F,"110000,00",0,Graduate Degree,2022-03-02
11174,338,Nicholas,Robinson,Nicholas Robinson,1973-01-09,M,M,"110000,00",0,Graduate Degree,2022-07-13
11175,300,Luis,Wang,Luis Wang,1968-09-01,S,M,"70000,00",0,Partial College,2020-08-28
11176,50,Mason,Roberts,Mason Roberts,1979-01-21,M,M,"90000,00",4,Bachelors,2022-02-02
11177,359,Jose,Flores,Jose Flores,1948-01-01,M,M,"110000,00",2,Graduate Degree,2022-03-29
11178,334,Nathan,Johnson,Nathan Johnson,1954-08-20,M,M,"100000,00",2,Graduate Degree,2022-02-21
11179,300,Molly,Rodriguez,Molly Rodriguez,1959-12-08,M,F,"120000,00",2,Graduate Degree,2022-03-12
11180,307,April,Anand,April Anand,1948-07-01,M,F,"160000,00",1,Bachelors,2022-03-17
11181,338,Devin,Martin,Devin Martin,1960-02-01,M,M,"170000,00",2,Graduate Degree,2022-05-07
11182,638,Stephanie,Torres,Stephanie Torres,1950-02-22,S,F,"70000,00",4,Bachelors,2022-08-28
11183,368,Jasmine,Lee,Jasmine Lee,1950-01-12,S,F,"70000,00",4,Bachelors,2022-04-30
11184,311,Meghan,Hernandez,Meghan Hernandez,1955-11-13,S,F,"70000,00",4,Bachelors,2022-08-10
11185,53,Ashley,Henderson,Ashley Henderson,1950-04-07,S,F,"70000,00",4,Bachelors,2022-02-21
11186,352,Sarah,Price,Sarah Price,1949-11-18,S,F,"70000,00",4,Bachelors,2022-10-18
11187,612,Jennifer,Cooper,Jennifer Cooper,1949-08-21,M,F,"60000,00",4,Graduate Degree,2022-04-03
11188,361,Catherine,Morris,Catherine Morris,1950-03-06,M,F,"60000,00",4,Graduate Degree,2022-11-01
11189,609,Lawrence,Blanco,Lawrence Blanco,1950-01-12,S,M,"60000,00",4,Graduate Degree,2020-08-26
11190,300,Carson,Bryant,Carson Bryant,1949-12-20,M,M,"70000,00",5,Bachelors,2022-08-28
11191,310,Kristi,Perez,Kristi Perez,1951-06-17,S,F,"70000,00",5,Bachelors,2020-08-11
11192,637,James,Brown,James Brown,1951-03-13,M,M,"60000,00",4,Bachelors,2022-06-23
11193,553,Ian,Gray,Ian Gray,1950-08-13,M,M,"60000,00",4,Bachelors,2022-02-25
11194,352,Jacqueline,Price,Jacqueline Price,1950-12-08,M,F,"60000,00",4,Bachelors,2022-03-13
11195,635,Megan,Henderson,Megan Henderson,1951-08-10,M,F,"60000,00",5,Bachelors,2022-04-14
11196,536,Alfredo,Romero,Alfredo Romero,1951-12-05,M,M,"60000,00",5,Bachelors,2022-03-03
11197,637,Andrea,Morris,Andrea Morris,1951-12-16,M,F,"70000,00",3,Bachelors,2022-05-02
11198,368,Brooke,Sanders,Brooke Sanders,1952-05-25,S,F,"70000,00",4,Bachelors,2022-02-05
11199,302,Jacqueline,Bennett,Jacqueline Bennett,1957-11-02,M,F,"70000,00",4,Bachelors,2022-03-18
11200,69,Jason,Griffin,Jason Griffin,1953-05-21,M,M,"70000,00",4,Bachelors,2022-02-07
11201,369,Amanda,Foster,Amanda Foster,1953-02-14,M,F,"70000,00",4,Bachelors,2022-07-01
11202,334,Alexia,Price,Alexia Price,1958-08-22,M,F,"80000,00",5,Bachelors,2022-09-15
11203,60,Luis,Diaz,Luis Diaz,1959-08-18,M,M,"40000,00",2,High School,2022-02-20
11204,536,Destiny,Rivera,Destiny Rivera,1953-11-29,M,F,"40000,00",2,High School,2022-08-09
11205,612,Abby,Fernandez,Abby Fernandez,1954-01-21,M,F,"40000,00",2,High School,2022-07-27
11206,626,Blake,Flores,Blake Flores,1954-03-24,M,M,"60000,00",2,Partial College,2022-05-11
11207,635,Danielle,Cox,Danielle Cox,1954-01-16,S,F,"60000,00",2,Partial College,2022-01-31
11208,325,Maria,Reed,Maria Reed,1953-08-03,M,F,"60000,00",2,Bachelors,2022-03-04
11209,336,Allison,Evans,Allison Evans,1953-07-12,M,F,"60000,00",2,Bachelors,2022-03-25
11210,383,Edward,Wood,Edward Wood,1953-12-06,M,M,"70000,00",4,Partial College,2022-05-06
11211,50,Samantha,Russell,Samantha Russell,1960-10-08,M,F,"40000,00",2,High School,2022-02-01
11212,53,Chloe,Campbell,Chloe Campbell,1955-05-05,M,F,"40000,00",2,High School,2022-01-30
11213,614,Stephanie,Murphy,Stephanie Murphy,1954-11-11,S,F,"60000,00",2,Partial College,2022-03-28
11214,545,Charles,Miller,Charles Miller,1955-05-07,S,M,"60000,00",2,Partial College,2022-08-14
11215,62,Ana,Perry,Ana Perry,1961-06-17,M,F,"40000,00",2,Partial High School,2022-02-15
11216,547,Jasmine,Torres,Jasmine Torres,1955-11-17,S,F,"60000,00",2,Partial College,2020-08-15
11217,547,Natalie,Adams,Natalie Adams,1955-08-11,S,F,"60000,00",2,Partial College,2020-08-10
11218,642,Olivia,Brown,Olivia Brown,1961-09-07,S,F,"60000,00",2,Partial College,2022-02-28
11219,553,Charles,Cook,Charles Cook,1956-05-31,M,M,"60000,00",2,High School,2022-10-29
11220,310,Erica,Huang,Erica Huang,1961-02-19,M,F,"60000,00",2,Partial College,2022-03-14
11221,334,Nathan,Perry,Nathan Perry,1955-12-08,M,M,"70000,00",4,Partial College,2022-04-07
11222,369,Alexandra,Rivera,Alexandra Rivera,1956-02-14,M,F,"80000,00",3,Bachelors,2022-11-01
11223,52,Hailey,Patterson,Hailey Patterson,1957-03-15,S,F,"70000,00",2,High School,2022-01-29
11224,612,Tiffany,Li,Tiffany Li,1957-03-05,S,F,"70000,00",2,High School,2020-08-07
11225,635,Madison,Lee,Madison Lee,1962-02-12,M,F,"60000,00",2,Partial College,2022-06-22
11226,552,Sydney,Ross,Sydney Ross,1962-09-23,M,F,"60000,00",2,Partial College,2022-02-21
11227,310,Marshall,Chavez,Marshall Chavez,1962-08-08,S,M,"60000,00",2,Partial College,2020-08-03
11228,316,Ashley,Jones,Ashley Jones,1956-10-16,M,F,"60000,00",2,Partial College,2022-10-25
11229,355,Adrian,Stewart,Adrian Stewart,1957-06-01,S,M,"70000,00",4,Partial College,2022-07-27
11230,369,Amber,Turner,Amber Turner,1956-09-30,M,F,"70000,00",4,Partial College,2022-07-16
11231,611,Dennis,Zhang,Dennis Zhang,1963-11-11,M,M,"60000,00",2,High School,2022-02-10
11232,616,Hailey,Bryant,Hailey Bryant,1958-03-27,M,F,"60000,00",3,High School,2022-09-20
11233,299,Todd,Li,Todd Li,1963-09-06,M,M,"70000,00",4,Partial College,2022-02-08
11234,337,Anna,Griffin,Anna Griffin,1958-05-19,S,F,"70000,00",4,Partial College,2022-02-08
11235,607,Angel,Stewart,Angel Stewart,1957-08-07,M,M,"70000,00",4,Partial College,2022-07-04
11236,609,Jeremy,Butler,Jeremy Butler,1957-09-02,S,M,"70000,00",5,Partial College,2022-10-03
11237,161,Clarence,Anand,Clarence Anand,1964-03-22,S,M,"130000,00",2,Bachelors,2020-09-05
11238,232,Mayra,Prasad,Mayra Prasad,1964-02-07,S,F,"130000,00",2,Bachelors,2020-01-06
11239,249,Latoya,Goel,Latoya Goel,1969-10-02,M,F,"130000,00",2,Partial College,2020-01-19
11240,273,Anne,Hernandez,Anne Hernandez,1964-06-09,M,F,"160000,00",2,Partial College,2020-02-27
11241,211,Lisa,Cai,Lisa Cai,1974-04-06,S,F,"100000,00",2,Partial College,2021-09-10
11242,209,Larry,Munoz,Larry Munoz,1963-05-11,M,M,"110000,00",2,Partial College,2021-09-19
11243,237,Robin,Alvarez,Robin Alvarez,1963-04-08,M,F,"150000,00",2,Partial College,2020-02-21
11244,267,Alexis,Coleman,Alexis Coleman,1968-11-22,S,F,"170000,00",2,Bachelors,2020-02-12
11245,132,Ricky,Vazquez,Ricky Vazquez,1962-04-26,M,M,"120000,00",3,High School,2020-09-26
11246,147,Latasha,Rubio,Latasha Rubio,1962-04-08,M,F,"120000,00",3,High School,2020-10-03
11247,242,Claudia,Zhou,Claudia Zhou,1961-12-04,S,F,"130000,00",3,Partial College,2020-02-18
11248,223,Tristan,Alexander,Tristan Alexander,1966-03-22,M,M,"110000,00",3,Partial College,2022-07-14
11249,178,Cindy,Patel,Cindy Patel,1966-07-09,M,F,"130000,00",3,Partial College,2020-10-09
11250,276,Shannon,Liu,Shannon Liu,1966-03-08,M,F,"170000,00",3,High School,2020-03-17
11251,50,Xavier,Long,Xavier Long,1938-01-01,S,M,"30000,00",4,High School,2022-10-18
11252,335,Nicholas,Thompson,Nicholas Thompson,1937-12-05,S,M,"90000,00",3,Graduate Degree,2020-08-14
11253,69,José,Hernandez,José Hernandez,1949-08-24,M,M,"60000,00",2,Graduate Degree,2022-03-01
11254,612,Johnathan,Vance,Johnathan Vance,1938-08-31,M,M,"70000,00",4,Graduate Degree,2022-11-23
11255,612,Colin,Lin,Colin Lin,1938-10-02,M,M,"70000,00",4,Graduate Degree,2022-02-23
11256,626,Katelyn,Hernandez,Katelyn Hernandez,1939-03-20,M,F,"70000,00",4,Graduate Degree,2022-04-15
11257,345,Jacqueline,Powell,Jacqueline Powell,1938-07-06,S,F,"120000,00",1,Graduate Degree,2020-08-24
